"","firm","employee","Executive Investor","Executive Non-Investor","Non-Executive Investor","Non-Executive Non-Investor","Female","Male","White","Black","Asian/Indian","Latino/a","Other Non-White","White & Female","White & Male","Black & Female","Black & Male","Asian/Indian & Female","Asian/Indian & Male","Latina","Latino","Other Non-White & Female","Other Non-White & Male","Size of Most Recent Fund ($MM)","Size of Most Recent Fund ($MM) Grouping","VC Firm","Angel Group","Family Office","Other","Industry Focus - Tech","Industry Focus - Consumer","Industry Focus - General","Industry Focus - Other","Main Focus Midwest?","First Time Fund?"
"315","Firm 64","Employee 5",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,1,0,0,1,0,0,1,0,0
"316","Firm 65","Employee 1",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,1,0,0,1,0,0,1,0,0
"317","Firm 65","Employee 2",0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,1,0,0,1,0,0,1,0,0
"318","Firm 65","Employee 3",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,1,0,0,1,0,0,1,0,0
"319","Firm 65","Employee 4",0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"N/A","N/A",0,1,0,0,1,0,0,1,0,0
"320","Firm 65","Employee 5",0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,1,0,0,1,0,0,1,0,0
"321","Firm 66","Employee 1",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,1,0,0,0,1,0,0,0
"322","Firm 66","Employee 2",0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,1,0,0,0,1,0,0,0
"323","Firm 67","Employee 1",0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,1,0,0,0,1,0,0,0
"324","Firm 67","Employee 2",0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,1,0,0,0,1,0,0,0
"325","Firm 67","Employee 3",0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,1,0,0,0,1,0,0,0
"326","Firm 67","Employee 4",0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,1,0,0,0,1,0,0,0
"327","Firm 67","Employee 5",0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,1,0,0,0,1,0,0,0
"328","Firm 68","Employee 1",0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,1,0,0,0,1,0,0,0
"329","Firm 68","Employee 2",0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,"N/A","N/A",0,0,1,0,0,0,1,0,0,0
"330","Firm 68","Employee 3",0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"N/A","N/A",0,0,1,0,0,0,1,0,0,0
"331","Firm 68","Employee 4",0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,1,0,0,0,1,0,0,0
"332","Firm 68","Employee 5",0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,1,0,0,0,1,0,0,0
"333","Firm 68","Employee 6",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"7","$5-$15",1,0,0,0,1,0,0,0,0,1
"334","Firm 69","Employee 1",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"7","$5-$15",1,0,0,0,1,0,0,0,0,1
"335","Firm 69","Employee 2",1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,"N/A","N/A",0,1,0,0,1,1,0,1,1,0
"336","Firm 69","Employee 3",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,1,0,0,1,1,0,1,1,0
"337","Firm 69","Employee 4",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,1,0,0,1,1,0,1,1,0
"338","Firm 69","Employee 5",0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,0,0,1,0,1,0
"339","Firm 69","Employee 6",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,0,0,1,0,1,0
"340","Firm 69","Employee 7",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,0,0,1,0,1,0
"341","Firm 69","Employee 8",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,1,0,0,0,0,0,1,0,0
"342","Firm 69","Employee 9",0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,"N/A","N/A",0,1,0,0,0,0,0,1,0,0
"343","Firm 70","Employee 1",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,1,0,1,1,0,1,0,0
"344","Firm 70","Employee 2",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,1,0,1,1,0,1,0,0
"345","Firm 70","Employee 3",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,1,0,1,1,0,1,0,0
"346","Firm 70","Employee 4",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,1,0,1,1,0,1,0,0
"347","Firm 70","Employee 5",0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,1,0,1,1,0,1,0,0
"348","Firm 70","Employee 6",0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,1,0,1,1,0,1,0,0
"349","Firm 70","Employee 7",0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,1,0,1,1,0,1,0,0
"350","Firm 70","Employee 8",0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,"N/A","N/A",0,0,1,0,1,1,0,1,0,0
"351","Firm 70","Employee 9",0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,1,0,1,1,0,1,0,0
"352","Firm 71","Employee 1",1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,"175","$100+",1,0,0,0,1,0,0,0,0,1
"353","Firm 71","Employee 2",0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"175","$100+",1,0,0,0,1,0,0,0,0,1
"354","Firm 71","Employee 3",0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"175","$100+",1,0,0,0,1,0,0,0,0,1
