"","firm","employee","Executive Investor","Executive Non-Investor","Non-Executive Investor","Non-Executive Non-Investor","Female","Male","White","Black","Asian/Indian","Latino/a","Other Non-White","White & Female","White & Male","Black & Female","Black & Male","Asian/Indian & Female","Asian/Indian & Male","Latina","Latino","Other Non-White & Female","Other Non-White & Male","Size of Most Recent Fund ($MM)","Size of Most Recent Fund ($MM) Grouping","VC Firm","Angel Group","Family Office","Other","Industry Focus - Tech","Industry Focus - Consumer","Industry Focus - General","Industry Focus - Other","Main Focus Midwest?","First Time Fund?","type"
"175","Firm 30","Employee 5",1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,"180","$100+",1,0,0,0,0,1,0,0,0,0,"VC Firm"
"176","Firm 30","Employee 6",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"180","$100+",1,0,0,0,0,1,0,0,0,0,"VC Firm"
"177","Firm 30","Employee 7",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"180","$100+",1,0,0,0,0,1,0,0,0,0,"VC Firm"
"178","Firm 30","Employee 8",1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,"180","$100+",1,0,0,0,0,1,0,0,0,0,"VC Firm"
"179","Firm 30","Employee 9",0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"180","$100+",1,0,0,0,0,1,0,0,0,0,"VC Firm"
"180","Firm 30","Employee 10",0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"180","$100+",1,0,0,0,0,1,0,0,0,0,"VC Firm"
"181","Firm 31","Employee 1",0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,"180","$100+",1,0,0,0,0,1,0,0,0,0,"VC Firm"
"182","Firm 31","Employee 2",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"180","$100+",1,0,0,0,0,1,0,0,0,0,"VC Firm"
"183","Firm 31","Employee 3",0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"180","$100+",1,0,0,0,0,1,0,0,0,0,"VC Firm"
"184","Firm 31","Employee 4",0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"180","$100+",1,0,0,0,0,1,0,0,0,0,"VC Firm"
"185","Firm 31","Employee 5",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"5","$5-$15",1,0,0,0,1,0,0,0,1,1,"VC Firm"
"186","Firm 31","Employee 6",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"115","$100+",1,0,0,0,1,0,0,1,0,0,"VC Firm"
"187","Firm 31","Employee 7",0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,"115","$100+",1,0,0,0,1,0,0,1,0,0,"VC Firm"
"188","Firm 31","Employee 8",0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,"115","$100+",1,0,0,0,1,0,0,1,0,0,"VC Firm"
"189","Firm 31","Employee 9",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"115","$100+",1,0,0,0,1,0,0,1,0,0,"VC Firm"
"190","Firm 31","Employee 10",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"115","$100+",1,0,0,0,1,0,0,1,0,0,"VC Firm"
"191","Firm 31","Employee 11",0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"115","$100+",1,0,0,0,1,0,0,1,0,0,"VC Firm"
